corr_mean_val,cosine_dst_train,cosine_dst_val,epoch,step,train_loss,val_loss
0.6646890640258789,,0.9491164684295654,0,310,,0.01704167015850544
,0.9010958075523376,,0,310,0.03774406760931015,
0.9101288914680481,,0.9526358246803284,1,621,,0.013359236530959606
,0.955834150314331,,1,621,0.012477383017539978,
0.9365978240966797,,0.9513723850250244,2,932,,0.013780385255813599
,0.9727500677108765,,2,932,0.006689244881272316,
0.9452027678489685,,0.949009895324707,3,1243,,0.014250104315578938
,0.9798333048820496,,3,1243,0.004712057765573263,
0.9523558020591736,,0.9493735432624817,4,1554,,0.013084346428513527
,0.983695924282074,,4,1554,0.0037715176586061716,
0.9563629031181335,,0.946226179599762,5,1865,,0.014341677539050579
,0.9860692024230957,,5,1865,0.003212842158973217,
0.9601268172264099,,0.9475048780441284,6,2176,,0.014095834456384182
,0.9878324270248413,,6,2176,0.0028041244950145483,
0.9627967476844788,,0.9430904984474182,7,2487,,0.014735753647983074
,0.9891644716262817,,7,2487,0.002504028845578432,
0.9652596712112427,,0.9450834393501282,8,2798,,0.014389079995453358
,0.9903303384780884,,8,2798,0.002236823318526149,
0.9680917263031006,,0.9467456340789795,9,3109,,0.014848174527287483
,0.9912501573562622,,9,3109,0.002029531868174672,
0.9675604701042175,,0.9462631344795227,10,3420,,0.01461557112634182
,0.9919770359992981,,10,3420,0.0018693762831389904,
0.969832181930542,,0.9463559985160828,11,3731,,0.014311064966022968
,0.9925800561904907,,11,3731,0.0017447496065869927,
0.9698222279548645,,0.9482839703559875,12,4042,,0.01443400327116251
,0.9930939674377441,,12,4042,0.0016433187993243337,
0.9704263806343079,,0.946878969669342,13,4353,,0.014298172667622566
,0.9935354590415955,,13,4353,0.001554686576128006,
0.9717698693275452,,0.9491007328033447,14,4664,,0.014147513546049595
,0.9938796162605286,,14,4664,0.001484984066337347,
0.972223162651062,,0.9463428258895874,15,4975,,0.014382341876626015
,0.9942017197608948,,15,4975,0.0014184575993567705,
0.9725431799888611,,0.9498301148414612,16,5286,,0.014115922152996063
,0.9944911599159241,,16,5286,0.0013613748596981168,
0.9735080003738403,,0.9466776251792908,17,5597,,0.014234567061066628
,0.9947611093521118,,17,5597,0.001301874523051083,
0.9734736680984497,,0.9475881457328796,18,5908,,0.014177695848047733
,0.995015025138855,,18,5908,0.0012459709541872144,
0.9737311005592346,,0.9485569000244141,19,6219,,0.01442211028188467
,0.995226263999939,,19,6219,0.0011959222611039877,
